Gen,PhotoNum,Person,Trident
14,14_1,Taylor,28.802
14,14_2,Taylor,40.934
14,14_3,Taylor,38.015
14,14_4,Taylor,52.698
14,14_5,Taylor,1.551
14,14_6,Taylor,49.959
14,14_7,Taylor,27.444
14,14_8,Taylor,34.419
14,14_9,Taylor,18.103
14,14_10,Taylor,36.818
14,14_11,Taylor,17.334
14,14_12,Taylor,34.712
14,14_13,Taylor,11.448
14,14_14,Taylor,36.18
14,14_15,Taylor,36.725
14,14_16,Taylor,41.901
14,14_17,Taylor,47.035
14,14_18,Taylor,30.523
14,14_19,Taylor,43.446
14,14_20,Taylor,32.462
14,14_21,Taylor,20.103
14,14_22,Taylor,30.583
14,14_23,Taylor,66.887
14,14_24,Taylor,16.255
14,14_25,Taylor,23.775
14,14_26,Taylor,15.287
14,14_27,Taylor,17.69
14,14_28,Taylor,-2.505
14,14_29,Taylor,34.417
14,14_30,Taylor,-8.624
14,14_31,Taylor,43.301
14,14_32,Taylor,16.476
14,14_33,Taylor,47.986
14,14_34,Taylor,95.343
14,14_35,Taylor,47.427
14,14_36,Taylor,30.385
14,14_37,Taylor,23.697
14,14_38,Taylor,4.733
14,14_39,Taylor,41.834
14,14_40,Taylor,26.577
14,14_41,Taylor,23.486
14,14_42,Taylor,22.049
14,14_43,Taylor,35.792
14,14_44,Taylor,47.754
14,14_45,Taylor,48.306
14,14_46,Taylor,20.179
14,14_47,Taylor,56.679
14,14_48,Taylor,40.972
14,14_49,Taylor,15.733
14,14_50,Taylor,49.035
3,3_1,Taylor,60.692
3,3_2,Taylor,47.416
3,3_3,Taylor,19.9
3,3_4,Taylor,39.147
3,3_5,Taylor,56.761
3,3_6,Taylor,36.168
3,3_7,Taylor,14.166
3,3_8,Taylor,43.051
3,3_9,Taylor,47.064
3,3_10,Taylor,79.383
3,3_11,Taylor,46.234
3,3_12,Taylor,72.864
3,3_13,Taylor,29.713
3,3_14,Taylor,24.553
3,3_15,Taylor,34.603
3,3_16,Taylor,42.974
3,3_17,Taylor,59.354
3,3_18,Taylor,26.412
3,3_19,Taylor,36.076
3,3_20,Taylor,20.925
3,3_21,Taylor,33.241
3,3_22,Taylor,50.913
3,3_23,Taylor,37.544
3,3_24,Taylor,31.714
3,3_25,Taylor,74.911
3,3_26,Taylor,80.549
3,3_27,Taylor,30.701
3,3_28,Taylor,35.403
3,3_29,Taylor,57.616
3,3_30,Taylor,63.846
3,3_31,Taylor,50.763
3,3_32,Taylor,31.244
3,3_33,Taylor,41.649
3,3_34,Taylor,61.413
3,3_35,Taylor,45.055
3,3_36,Taylor,3.713
3,3_37,Taylor,32.649
3,3_38,Taylor,56.549
3,3_39,Taylor,40.945
3,3_40,Taylor,40.581
3,3_41,Taylor,41.492
3,3_42,Taylor,39.635
3,3_43,Taylor,41.676
3,3_44,Taylor,45.691
3,3_45,Taylor,49.154
3,3_46,Taylor,48.345
3,3_47,Taylor,40.133
3,3_48,Taylor,38.827
3,3_49,Taylor,28.095
3,3_50,Taylor,69.991
7,7_1,Taylor,37.511
7,7_2,Taylor,35.528
7,7_3,Taylor,37.023
7,7_4,Taylor,25.473
7,7_5,Taylor,51.665
7,7_6,Taylor,21.343
7,7_7,Taylor,73.99
7,7_8,Taylor,28.667
7,7_9,Taylor,44.513
7,7_10,Taylor,15.479
7,7_11,Taylor,32.995
7,7_12,Taylor,34.275
7,7_13,Taylor,46.572
7,7_14,Taylor,39.027
7,7_15,Taylor,39.848
7,7_16,Taylor,25.884
7,7_17,Taylor,25.994
7,7_18,Taylor,34.833
7,7_19,Taylor,59.515
7,7_20,Taylor,43.12
7,7_21,Taylor,19.343
7,7_22,Taylor,28.275
7,7_23,Taylor,39.497
7,7_24,Taylor,34.504
7,7_25,Taylor,47.005
7,7_26,Taylor,23.391
7,7_27,Taylor,39.24
7,7_28,Taylor,31.862
7,7_29,Taylor,26.028
7,7_30,Taylor,15.961
7,7_31,Taylor,31.883
7,7_32,Taylor,32.411
7,7_33,Taylor,53.353
7,7_34,Taylor,49.134
7,7_35,Taylor,51.457
7,7_36,Taylor,51.326
7,7_37,Taylor,28.094
7,7_38,Taylor,47.971
7,7_39,Taylor,47.423
7,7_40,Taylor,10.92
7,7_41,Taylor,43.041
7,7_42,Taylor,44.061
7,7_43,Taylor,69.486
7,7_44,Taylor,43.13
7,7_45,Taylor,26.774
7,7_46,Taylor,33.422
7,7_47,Taylor,55.398
7,7_48,Taylor,33.31
7,7_49,Taylor,21.991
7,7_50,Taylor,29.387
14,14_1,Paulina,30.348
14,14_2,Paulina,42.106
14,14_3,Paulina,31.72
14,14_4,Paulina,49.572
14,14_5,Paulina,1.527
14,14_6,Paulina,44.958
14,14_7,Paulina,26.801
14,14_8,Paulina,33.369
14,14_9,Paulina,18.534
14,14_10,Paulina,36.66
14,14_11,Paulina,28.677
14,14_12,Paulina,35.759
14,14_13,Paulina,25.71
14,14_14,Paulina,31.462
14,14_15,Paulina,40.293
14,14_16,Paulina,36.081
14,14_17,Paulina,51.677
14,14_18,Paulina,43.371
14,14_19,Paulina,46.785
14,14_20,Paulina,31.732
14,14_21,Paulina,24.413
14,14_22,Paulina,30.149
14,14_23,Paulina,68.021
14,14_24,Paulina,18.054
14,14_25,Paulina,19.071
14,14_26,Paulina,20.54
14,14_27,Paulina,14.161
14,14_28,Paulina,-2.698
14,14_29,Paulina,33.7
14,14_30,Paulina,7.182
14,14_31,Paulina,47.826
14,14_32,Paulina,18.18
14,14_33,Paulina,22.214
14,14_34,Paulina,42.418
14,14_35,Paulina,45.418
14,14_36,Paulina,24.399
14,14_37,Paulina,21.427
14,14_38,Paulina,7.038
14,14_39,Paulina,32.321
14,14_40,Paulina,26.772
14,14_41,Paulina,23.764
14,14_42,Paulina,11.849
14,14_43,Paulina,33.929
14,14_44,Paulina,44.432
14,14_45,Paulina,40.094
14,14_46,Paulina,32.408
14,14_47,Paulina,48.923
14,14_48,Paulina,38.078
14,14_49,Paulina,21.417
14,14_50,Paulina,40.482
3,3_1,Paulina,62.12
3,3_2,Paulina,52.018
3,3_3,Paulina,32.996
3,3_4,Paulina,49.491
3,3_5,Paulina,55.693
3,3_6,Paulina,37.863
3,3_7,Paulina,20.062
3,3_8,Paulina,31.392
3,3_9,Paulina,55.475
3,3_10,Paulina,75.834
3,3_11,Paulina,28.909
3,3_12,Paulina,72.963
3,3_13,Paulina,39.159
3,3_14,Paulina,22.039
3,3_15,Paulina,36.247
3,3_16,Paulina,45.092
3,3_17,Paulina,59.388
3,3_18,Paulina,35.547
3,3_19,Paulina,37.604
3,3_20,Paulina,23.06
3,3_21,Paulina,38.91
3,3_22,Paulina,48.545
3,3_23,Paulina,36.568
3,3_24,Paulina,24.206
3,3_25,Paulina,50.604
3,3_26,Paulina,69.205
3,3_27,Paulina,35.35
3,3_28,Paulina,32.79
3,3_29,Paulina,47.631
3,3_30,Paulina,68.747
3,3_31,Paulina,49.622
3,3_32,Paulina,42.601
3,3_33,Paulina,44.052
3,3_34,Paulina,60.112
3,3_35,Paulina,44.219
3,3_36,Paulina,2.398
3,3_37,Paulina,19.702
3,3_38,Paulina,56.773
3,3_39,Paulina,37.923
3,3_40,Paulina,40.526
3,3_41,Paulina,37.348
3,3_42,Paulina,45.351
3,3_43,Paulina,43.69
3,3_44,Paulina,44.864
3,3_45,Paulina,49.344
3,3_46,Paulina,50.93
3,3_47,Paulina,37.197
3,3_48,Paulina,23.453
3,3_49,Paulina,21.027
3,3_50,Paulina,69.53
14,14_1,Nick,29.22
14,14_2,Nick,40.659
14,14_3,Nick,25.555
14,14_4,Nick,53.116
14,14_5,Nick,-1.67
14,14_6,Nick,45.625
14,14_7,Nick,30.912
14,14_8,Nick,36.121
14,14_9,Nick,19.55
14,14_10,Nick,39.339
14,14_11,Nick,25.915
14,14_12,Nick,39.339
14,14_13,Nick,14.896
14,14_14,Nick,28.103
14,14_15,Nick,29.906
14,14_16,Nick,37.384
14,14_17,Nick,39.909
14,14_18,Nick,40.219
14,14_19,Nick,41.855
14,14_20,Nick,32.924
14,14_21,Nick,10.5
14,14_22,Nick,27.157
14,14_23,Nick,65.754
14,14_24,Nick,12.761
14,14_25,Nick,25.89
14,14_26,Nick,12.153
14,14_27,Nick,13.926
14,14_28,Nick,-1.362
14,14_29,Nick,33.807
14,14_30,Nick,5.167
14,14_31,Nick,35.984
14,14_32,Nick,16.183
14,14_33,Nick,20.273
14,14_34,Nick,54.659
14,14_35,Nick,41.045
14,14_36,Nick,28.112
14,14_37,Nick,19.814
14,14_38,Nick,4.246
14,14_39,Nick,37.494
14,14_40,Nick,25.354
14,14_41,Nick,24.552
14,14_42,Nick,21.66
14,14_43,Nick,36.292
14,14_44,Nick,42.917
14,14_45,Nick,38.501
14,14_46,Nick,2.985
14,14_47,Nick,50.388
14,14_48,Nick,37.47
14,14_49,Nick,21.238
14,14_50,Nick,45.756
3,3_1,Nick,39.686
3,3_2,Nick,42.954
3,3_3,Nick,21.86
3,3_4,Nick,37.372
3,3_5,Nick,111.348
3,3_6,Nick,32.905
3,3_7,Nick,29.11
3,3_8,Nick,24.143
3,3_9,Nick,47.549
3,3_10,Nick,62.143
3,3_11,Nick,124.067
3,3_12,Nick,133.64
3,3_13,Nick,37.438
3,3_14,Nick,23.124
3,3_15,Nick,35.634
3,3_16,Nick,36.528
3,3_17,Nick,50.94
3,3_18,Nick,30.298
3,3_19,Nick,46.426
3,3_20,Nick,41.67
3,3_21,Nick,88.962
3,3_22,Nick,44.189
3,3_23,Nick,39.535
3,3_24,Nick,23.335
3,3_25,Nick,44.771
3,3_26,Nick,85.351
3,3_27,Nick,31.551
3,3_28,Nick,13.334
3,3_29,Nick,47.829
3,3_30,Nick,55.228
3,3_31,Nick,47.72
3,3_32,Nick,104.77
3,3_33,Nick,35.051
3,3_34,Nick,47.64
3,3_35,Nick,39.673
3,3_36,Nick,-8.494
3,3_37,Nick,28.645
3,3_38,Nick,49.7
3,3_39,Nick,36.426
3,3_40,Nick,45.249
3,3_41,Nick,40.594
3,3_42,Nick,17.255
3,3_43,Nick,38.257
3,3_44,Nick,32.595
3,3_45,Nick,49.92
3,3_46,Nick,42.782
3,3_47,Nick,37.616
3,3_48,Nick,31.441
3,3_49,Nick,25.19
3,3_50,Nick,38.914
14,14_1,Addison,31.32
14,14_2,Addison,34.649
14,14_3,Addison,29.502
14,14_4,Addison,49.346
14,14_5,Addison,-11.987
14,14_6,Addison,46.68
14,14_7,Addison,31.454
14,14_8,Addison,21.319
14,14_9,Addison,17.294
14,14_10,Addison,82.251
14,14_11,Addison,35.467
14,14_12,Addison,33.745
14,14_13,Addison,29.083
14,14_14,Addison,29.704
14,14_15,Addison,27.734
14,14_16,Addison,25.873
14,14_17,Addison,34.956
14,14_18,Addison,37.013
14,14_19,Addison,19.121
14,14_20,Addison,20.012
14,14_21,Addison,23.312
14,14_22,Addison,43.602
14,14_23,Addison,38.474
14,14_24,Addison,40.014
14,14_25,Addison,33.156
14,14_26,Addison,40.994
14,14_27,Addison,40.836
14,14_28,Addison,30.227
14,14_29,Addison,38.206
14,14_30,Addison,39.089
14,14_31,Addison,30.848
14,14_32,Addison,9.583
14,14_33,Addison,41.558
14,14_34,Addison,7.083
14,14_35,Addison,37.2
14,14_36,Addison,53.599
14,14_37,Addison,23.4
14,14_38,Addison,45.692
14,14_39,Addison,21.107
14,14_40,Addison,27.83
14,14_41,Addison,32.487
14,14_42,Addison,28.574
14,14_43,Addison,39.52
14,14_44,Addison,69.553
14,14_45,Addison,30.484
14,14_46,Addison,57.199
14,14_47,Addison,31.996
14,14_48,Addison,20.91
14,14_49,Addison,35.604
14,14_50,Addison,33.211
3,3_1,Addison,42.325
3,3_2,Addison,45.056
3,3_3,Addison,30.047
3,3_4,Addison,50.453
3,3_5,Addison,51.991
3,3_6,Addison,35.156
3,3_7,Addison,10.97
3,3_8,Addison,30.264
3,3_9,Addison,47.795
3,3_10,Addison,76.582
3,3_11,Addison,42.068
3,3_12,Addison,66.022
3,3_13,Addison,36.506
3,3_14,Addison,30.48
3,3_15,Addison,28.354
3,3_16,Addison,38.589
3,3_17,Addison,53.609
3,3_18,Addison,33.564
3,3_19,Addison,23.899
3,3_20,Addison,-12.03
3,3_21,Addison,34.076
3,3_22,Addison,51.59
3,3_23,Addison,34.944
3,3_24,Addison,21.545
3,3_25,Addison,71.89
3,3_26,Addison,68.397
3,3_27,Addison,28.892
3,3_28,Addison,8.933
3,3_29,Addison,43.095
3,3_30,Addison,55.484
3,3_31,Addison,43.537
3,3_32,Addison,44.624
3,3_33,Addison,41.359
3,3_34,Addison,48.844
3,3_35,Addison,38.735
3,3_36,Addison,-7.197
3,3_37,Addison,31.038
3,3_38,Addison,58.824
3,3_39,Addison,37.782
3,3_40,Addison,41.538
3,3_41,Addison,28.589
3,3_42,Addison,21.861
3,3_43,Addison,34.897
3,3_44,Addison,35.179
3,3_45,Addison,46.498
3,3_46,Addison,39.167
3,3_47,Addison,28.576
3,3_48,Addison,31.266
3,3_49,Addison,15.357
3,3_50,Addison,65.412
14,14_1,Anthony,30.835
14,14_2,Anthony,37.489
14,14_3,Anthony,27.397
14,14_4,Anthony,51.765
14,14_5,Anthony,-12.172
14,14_6,Anthony,45.979
14,14_7,Anthony,31.771
14,14_8,Anthony,27.37
14,14_9,Anthony,14.798
14,14_10,Anthony,36.246
14,14_11,Anthony,13.181
14,14_12,Anthony,37.812
14,14_13,Anthony,9.457
14,14_14,Anthony,41.49
14,14_15,Anthony,39.032
14,14_16,Anthony,37.922
14,14_17,Anthony,43.406
14,14_18,Anthony,40.207
14,14_19,Anthony,43.27
14,14_20,Anthony,26.532
14,14_21,Anthony,7.26
14,14_22,Anthony,18.416
14,14_23,Anthony,62.66
14,14_24,Anthony,18.102
14,14_25,Anthony,19.249
14,14_26,Anthony,8.591
14,14_27,Anthony,27.327
14,14_28,Anthony,2.634
14,14_29,Anthony,34.77
14,14_30,Anthony,-3.228
14,14_31,Anthony,36.389
14,14_32,Anthony,10.42
14,14_33,Anthony,25.835
14,14_34,Anthony,32.245
14,14_35,Anthony,37.041
14,14_36,Anthony,30.926
14,14_37,Anthony,22.745
14,14_38,Anthony,-15.986
14,14_39,Anthony,41.11
14,14_40,Anthony,24.082
14,14_41,Anthony,24.472
14,14_42,Anthony,20.949
14,14_43,Anthony,31.044
14,14_44,Anthony,43.567
14,14_45,Anthony,43.117
14,14_46,Anthony,21.656
14,14_47,Anthony,44.242
14,14_48,Anthony,38.83
14,14_49,Anthony,13.588
14,14_50,Anthony,44.531
3,3_1,Anthony,39.071
3,3_2,Anthony,33.761
3,3_3,Anthony,18.482
3,3_4,Anthony,36.808
3,3_5,Anthony,41.449
3,3_6,Anthony,31.406
3,3_7,Anthony,13.147
3,3_8,Anthony,36.378
3,3_9,Anthony,47.077
3,3_10,Anthony,115.607
3,3_11,Anthony,32.829
3,3_12,Anthony,48.903
3,3_13,Anthony,35.193
3,3_14,Anthony,26.111
3,3_15,Anthony,32.744
3,3_16,Anthony,29.882
3,3_17,Anthony,55.132
3,3_18,Anthony,28.669
3,3_19,Anthony,32.05
3,3_20,Anthony,27.744
3,3_21,Anthony,29.866
3,3_22,Anthony,43.598
3,3_23,Anthony,29.357
3,3_24,Anthony,5.201
3,3_25,Anthony,47.728
3,3_26,Anthony,50.216
3,3_27,Anthony,32.8
3,3_28,Anthony,14.944
3,3_29,Anthony,49.14
3,3_30,Anthony,56.008
3,3_31,Anthony,104.428
3,3_32,Anthony,42.569
3,3_33,Anthony,31.317
3,3_34,Anthony,51.151
3,3_35,Anthony,36.532
3,3_36,Anthony,-0.707
3,3_37,Anthony,25.151
3,3_38,Anthony,49.115
3,3_39,Anthony,37.651
3,3_40,Anthony,47.497
3,3_41,Anthony,39.316
3,3_42,Anthony,11.983
3,3_43,Anthony,34.12
3,3_44,Anthony,31.996
3,3_45,Anthony,51.253
3,3_46,Anthony,47.168
3,3_47,Anthony,30.344
3,3_48,Anthony,36.653
3,3_49,Anthony,24.539
3,3_50,Anthony,41.107
